Molecular Function	Daphnia pulex - REFLIST (30118)	IDs-189-hits.txt (180)	IDs-189-hits.txt (expected)	IDs-189-hits.txt (over/under)	IDs-189-hits.txt (P-value)
nucleotidyltransferase activity	90	0	0.54	-	1.00E+00
double-stranded DNA binding	19	0	0.11	-	1.00E+00
enzyme regulator activity	582	5	3.48	+	1.00E+00
poly(A) RNA binding	88	2	0.53	+	1.00E+00
GTPase activity	200	1	1.2	-	1.00E+00
mRNA binding	249	3	1.49	+	1.00E+00
"hydrolase activity, hydrolyzing O-glycosyl compounds"	43	0	0.26	-	1.00E+00
DNA-directed DNA polymerase activity	25	0	0.15	-	1.00E+00
transforming growth factor beta-activated receptor activity	4	0	0.02	-	1.00E+00
RNA helicase activity	102	1	0.61	+	1.00E+00
neuropeptide hormone activity	141	0	0.84	-	1.00E+00
DNA replication origin binding	31	0	0.19	-	1.00E+00
DNA-methyltransferase activity	14	1	0.08	+	1.00E+00
damaged DNA binding	19	0	0.11	-	1.00E+00
chromatin binding	185	1	1.11	-	1.00E+00
carbohydrate transmembrane transporter activity	55	0	0.33	-	1.00E+00
ion channel activity	410	4	2.45	+	1.00E+00
transporter activity	1267	14	7.57	+	1.00E+00
DNA topoisomerase activity	31	1	0.19	+	1.00E+00
antioxidant activity	87	1	0.52	+	1.00E+00
DNA photolyase activity	7	0	0.04	-	1.00E+00
hormone activity	154	0	0.92	-	1.00E+00
nucleotide binding	20	0	0.12	-	1.00E+00
transcription cofactor activity	249	0	1.49	-	1.00E+00
structural constituent of myelin sheath	1	0	0.01	-	1.00E+00
DNA helicase activity	126	0	0.75	-	1.00E+00
DNA binding	1204	5	7.2	-	1.00E+00
amylase activity	13	0	0.08	-	1.00E+00
peptidase inhibitor activity	104	0	0.62	-	1.00E+00
"transferase activity, transferring glycosyl groups"	315	5	1.88	+	1.00E+00
cyclic nucleotide-gated ion channel activity	2	0	0.01	-	1.00E+00
