Biological Process	Daphnia pulex - REFLIST (30118)	Dpulex-189-all (180)	Dpulex-189-all (expected)	Dpulex-189-all (over/under)	Dpulex-189-all (P-value)
response to toxic substance	51	0	0.3	-	1.00E+00
vitamin transport	106	0	0.63	-	1.00E+00
cellular calcium ion homeostasis	34	2	0.2	+	1.00E+00
embryo development	25	0	0.15	-	1.00E+00
protein methylation	11	0	0.07	-	1.00E+00
mRNA 3'-end processing	92	2	0.55	+	1.00E+00
protein acetylation	32	2	0.19	+	1.00E+00
DNA recombination	135	1	0.81	+	1.00E+00
protein ADP-ribosylation	4	0	0.02	-	1.00E+00
phagocytosis	14	0	0.08	-	1.00E+00
pinocytosis	5	0	0.03	-	1.00E+00
cellular process	3611	26	21.58	+	1.00E+00
cholesterol metabolic process	94	2	0.56	+	1.00E+00
response to abiotic stimulus	3	0	0.02	-	1.00E+00
lipid transport	290	4	1.73	+	1.00E+00
"mRNA splicing, via spliceosome"	292	3	1.75	+	1.00E+00
sex determination	3	0	0.02	-	1.00E+00
amino acid transport	85	0	0.51	-	1.00E+00
mesoderm development	305	0	1.82	-	1.00E+00
biological adhesion	433	1	2.59	-	1.00E+00
proteolysis	989	11	5.91	+	1.00E+00
endoderm development	2	0	0.01	-	1.00E+00
DNA catabolic process	3	0	0.02	-	1.00E+00
protein phosphorylation	378	0	2.26	-	1.00E+00
female gamete generation	85	0	0.51	-	1.00E+00
cellular protein modification process	997	9	5.96	+	1.00E+00
regulation of carbohydrate metabolic process	15	0	0.09	-	1.00E+00
response to stimulus	786	2	4.7	-	1.00E+00
protein complex assembly	58	0	0.35	-	1.00E+00
vesicle-mediated transport	605	7	3.62	+	1.00E+00
cyclic nucleotide metabolic process	47	0	0.28	-	1.00E+00
nitrogen utilization	1	0	0.01	-	1.00E+00
nuclear transport	105	0	0.63	-	1.00E+00
DNA replication	263	4	1.57	+	1.00E+00
system development	24	0	0.14	-	1.00E+00
extracellular transport	117	0	0.7	-	1.00E+00
meiosis	26	1	0.16	+	1.00E+00
protein folding	207	3	1.24	+	1.00E+00
spermatogenesis	96	0	0.57	-	1.00E+00
disaccharide metabolic process	9	0	0.05	-	1.00E+00
DNA metabolic process	522	4	3.12	+	1.00E+00
response to external stimulus	160	0	0.96	-	1.00E+00
"RNA splicing, via transesterification reactions"	195	3	1.17	+	1.00E+00
fertilization	33	0	0.2	-	1.00E+00
phospholipid metabolic process	131	0	0.78	-	1.00E+00
gamete generation	229	0	1.37	-	1.00E+00
glycogen metabolic process	68	3	0.41	+	1.00E+00
polysaccharide metabolic process	179	3	1.07	+	1.00E+00
neuromuscular synaptic transmission	1	0	0.01	-	1.00E+00
neuron-neuron synaptic transmission	36	0	0.22	-	1.00E+00
neurological system process	602	0	3.6	-	1.00E+00
mitochondrial transport	18	0	0.11	-	1.00E+00
dorsal/ventral axis specification	45	0	0.27	-	1.00E+00
digestive tract mesoderm development	10	0	0.06	-	1.00E+00
organelle organization	300	4	1.79	+	1.00E+00
sensory perception of taste	87	0	0.52	-	1.00E+00
unsaturated fatty acid biosynthetic process	6	0	0.04	-	1.00E+00
polyphosphate catabolic process	3	0	0.02	-	1.00E+00
neurotransmitter secretion	36	0	0.22	-	1.00E+00
reproduction	260	1	1.55	-	1.00E+00
synaptic transmission	129	0	0.77	-	1.00E+00
phosphate-containing compound metabolic process	452	5	2.7	+	1.00E+00
cell-cell signaling	488	1	2.92	-	1.00E+00
fatty acid biosynthetic process	16	0	0.1	-	1.00E+00
sulfur compound metabolic process	90	2	0.54	+	1.00E+00
mitosis	445	4	2.66	+	1.00E+00
tRNA metabolic process	86	2	0.51	+	1.00E+00
negative regulation of apoptotic process	35	0	0.21	-	1.00E+00
anterior/posterior axis specification	13	0	0.08	-	1.00E+00
mRNA processing	395	3	2.36	+	1.00E+00
homeostatic process	124	2	0.74	+	1.00E+00
